,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
105路,下行,天桥站,友谊医院东站,永安路站,虎坊桥路口西站,果子巷站,菜市口北站,校场口站,宣武门外站,西单路口南站,西单商场站,缸瓦市站,西四路口南站,大红罗厂西口站,平安里路口北站,新街口南站,新开胡同站,西直门内站,西直门外站,动物园站,白石桥东站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
106路,上行,东直门枢纽站,东直门内站,东内小街站,北新桥路口南站,东四十二条站,魏家胡同站,钱粮胡同站,东四路口南站,灯市东口站,米市大街站,东单路口北站,崇文门内站,磁器口北站,红桥路口北站,天坛北门站,金鱼池站,天桥站,北纬路站,太平街北口站,太平街站,陶然桥北站,永定门长途汽车站,北京南站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
106路,下行,北京南站,永定门长途汽车站,陶然桥北站,太平街站,北纬路站,北纬路东口站,天桥站,金鱼池站,天坛北门站,红桥路口北站,磁器口北站,崇文门内站,东单路口北站,米市大街站,灯市东口站,东四路口南站,钱粮胡同站,魏家胡同站,东四十二条站,北新桥路口南站,东内小街站,东直门内站,东直门枢纽站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
107路,上行,东直门枢纽站,东直门内站,东内小街站,北新桥路口西站,交道口东站,小经厂站,宝钞胡同站,鼓楼站,地安门外站,北海北门站,东官房站,厂桥路口东站,平安里路口东站,平安医院站,官园站,车公庄西站,三塔寺站,二里沟东口站,北京展览馆站,动物园站,白石桥东站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
107路,下行,白石桥东站,动物园站,北京展览馆站,二里沟东口站,三塔寺站,车公庄东站,官园站,平安医院站,平安里路口东站,厂桥路口东站,东官房站,北海北门站,地安门外站,鼓楼站,宝钞胡同站,小经厂站,交道口东站,北新桥路口西站,东内小街站,东直门内站,东直门枢纽站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
108路,上行,崇文门外站,东单路口北站,米市大街站,灯市东口站,灯市西口站,美术馆北站,大佛寺站,宽街路口南站,北兵马司站,交道口南站,方家胡同站,安定门内站,地坛西门站,蒋宅口站,安外甘水桥站,安贞里站,五路居站,奥体东门站,安慧桥北站,炎黄艺术馆站,大屯南站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
108路,下行,大屯东站,大屯南站,炎黄艺术馆站,安慧桥北站,奥体东门站,五路居站,安贞里站,安外甘水桥站,蒋宅口站,地坛西门站,安定门内站,方家胡同站,交道口南站,北兵马司站,宽街路口南站,大佛寺站,美术馆北站,灯市西口站,灯市东口站,米市大街站,东单路口北站,崇文门内站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
109路,上行,北京西站南广场站,湾子站,广外甘石桥站,达官营站,广安门内站,牛街路口西站,菜市口西站,菜市口北站,校场口站,宣武门外站,西单路口南站,西单商场站,缸瓦市站,西四丁字街站,西安门站,北海站,故宫站,沙滩路口西站,美术馆东站,东四路口东站,朝内小街站,朝阳门内站,朝阳门外站,神路街站,东大桥公交场站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
109路,下行,东大桥公交场站,东大桥路口西站,神路街站,朝阳门外站,朝阳门内站,朝内小街站,东四路口东站,美术馆东站,沙滩路口西站,故宫站,北海站,西安门站,西四丁字街站,缸瓦市站,甘石桥站,西单商场站,西单路口南站,宣武门内站,校场口站,菜市口北站,菜市口西站,牛街路口西站,广安门内站,达官营站,广外甘石桥站,湾子站,北京西站南广场站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
110路,上行,天桥站,天桥路口东站,金鱼池站,天坛北门站,祈年大街南口站,兴隆街站,祈年大街北口站,崇文门西站,崇文门内站,东单路口北站,米市大街站,灯市东口站,东四路口南站,朝内小街站,朝阳门内站,朝阳门外站,神路街站,东大桥路口北站,朝阳医院站,工人体育场站,幸福三村站,塔园村站,新源里站,左家庄站,左家庄东街站,静安里站,左家庄中街站,柳芳北里站,柳芳北街站,地铁柳芳站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
110路,下行,地铁柳芳站,柳芳北街站,柳芳北里站,左家庄中街站,静安里站,左家庄东街站,左家庄站,新源里站,塔园村站,幸福三村站,工人体育场站,朝阳医院站,东大桥路口北站,神路街站,朝阳门外站,朝阳门内站,朝内小街站,东四路口南站,灯市东口站,米市大街站,东单路口北站,崇文门内站,崇文门西站,祈年大街北口站,兴隆街站,祈年大街南口站,天坛北门站,金鱼池站,天桥路口东站,天桥站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
